Date,Time,Plane,Imm,From,To,Total,Day,Night,IFR,Multi,Aircraft,Landings,Count,Comment
28/05/2024,20:23,Ultralight trike,-NO-,,,0.01,0.01,0.00,0.00,,Plane,,0,
28/05/2024,22:46,CESSNA C182R,N379DL,KCGX,KCGX,0.07,0.00,0.07,0.00,,Plane,KCGX/1,1,
28/05/2024,23:38,North American F86,12793,KCGX,KCGX,0.01,0.01,0.00,0.00,,Plane,KCGX/1,1,
28/05/2024,23:02,North American F86,12793,KCGX,KCGX,0.02,0.00,0.02,0.00,,Plane,KCGX/1,1,
28/05/2024,12:30,North American F86,12793,KCGX,KORD,0.13,0.13,0.00,0.00,,Plane,KORD/1,1,
29/05/2024,13:17,CESSNA C182R,N379DL,VHHH,VHHX,0.20,0.20,0.00,0.00,,Plane,VHHX/1,1,
29/05/2024,11:00,CESSNA C182R,N379DL,KFFA,,0.04,0.04,0.00,0.00,,Plane,,0,
29/05/2024,11:51,CESSNA C182R,N379DL,KCGX,,0.02,0.02,0.00,0.00,,Plane,,0,
29/05/2024,11:51,CESSNA C182R,N379DL,KCGX,,0.10,0.10,0.00,0.00,,Plane,,0,
29/05/2024,10:20,CESSNA C182R,N379DL,,,0.01,0.01,0.00,0.00,,Plane,,0,
29/05/2024,11:05,Ultralight trike,-NO-,KFHR,KFHR,0.09,0.09,0.00,0.00,,Plane,KFHR/1,1,
29/05/2024,12:43,Robinson R22,N8092U,,KFFA,0.11,0.11,0.00,0.00,,Helicopter,KFFA/1,1,
29/05/2024,18:52,CESSNA C182R,N379DL,KCGX,,0.06,0.06,0.00,0.00,,Plane,,0,
29/05/2024,12:17,North American F86,12793,KCGX,KORD,0.09,0.09,0.00,0.00,,Plane,KORD/1,1,
29/05/2024,18:16,CESSNA C182R,N379DL,,,0.02,0.02,0.00,0.00,,Plane,,0,
29/05/2024,11:40,P51 Mustang,N26BT,TNCM,,0.08,0.03,0.05,0.00,,Plane,,0,
29/05/2024,11:40,P51 Mustang,N26BT,TNCM,TFFJ,0.11,0.11,0.00,0.00,,Plane,TFFJ/1,1,
29/05/2024,11:40,North American F86,12793,TNCM,TFFJ,0.10,0.10,0.00,0.00,,Plane,TFFJ/1,1,
29/05/2024,13:21,CESSNA C182R,N379DL,,,0.02,0.02,0.00,0.00,,Plane,,0,
30/05/2024,11:35,CESSNA C182R,N379DL,VHHH,VHHX,0.19,0.19,0.00,0.00,,Plane,VHHX/1,1,
30/05/2024,11:38,CESSNA C182R,N379DL,VHHX,,0.13,0.13,0.00,0.00,,Plane,,0,
30/05/2024,13:17,CESSNA C182R,N379DL,EGFA,EGFP,0.34,0.34,0.00,0.00,,Plane,EGFP/1,1,
30/05/2024,12:18,F4U-1A Corsair29,-NO-,KCGX,KORD,0.12,0.12,0.00,0.00,,Plane,KORD/1,1,
30/05/2024,12:17,North American F86,12793,KCGX,KCGX,0.01,0.01,0.00,0.00,,Plane,KCGX/1,1,
30/05/2024,12:54,North American F86,12793,1VA7,1VA7,0.08,0.08,0.00,0.00,,Plane,1VA7/1,1,
31/05/2024,06:36,CESSNA C182R,N379DL,BISF,,0.03,0.03,0.00,0.00,,Plane,,0,
31/05/2024,07:11,Ultralight trike,-NO-,,,0.00,0.00,0.00,0.00,,Plane,,0,
31/05/2024,13:16,CESSNA C182,N1575S,TNCM,,0.08,0.08,0.00,0.00,,Plane,,0,
31/05/2024,12:34,CESSNA C182,N1575S,KCGX,KIGQ,0.22,0.22,0.00,0.00,,Plane,KIGQ/1,1,
31/05/2024,12:28,CESSNA C182,N1575S,KISW,KMFI,0.26,0.26,0.00,0.00,,Plane,KMFI/1,1,
31/05/2024,14:26,CESSNA C182,N1575S,,,0.01,0.01,0.00,0.00,,Plane,,0,
31/05/2024,14:32,CESSNA C182,N1575S,,,0.01,0.01,0.00,0.00,,Plane,,0,
31/05/2024,14:53,CESSNA C182,N1575S,,,0.02,0.02,0.00,0.00,,Plane,,0,
01/06/2024,10:28,CESSNA C182,N1575S,KFFA,,0.08,0.08,0.00,0.00,,Plane,,0,
01/06/2024,10:27,Robinson R22,N8092U,,,0.02,0.02,0.00,0.00,,Helicopter,,0,
01/06/2024,12:19,CESSNA C182,N1575S,KCGX,,0.10,0.10,0.00,0.00,,Plane,,0,
05/08/2024,12:20,CESSNA C182,N1575S,KCGX,LL22,0.24,0.24,0.00,0.00,,Plane,LL22/1,1,
01/06/2024,12:34,F4U-1A Corsair29,-NO-,KLAX,KCMA,0.24,0.24,0.00,0.00,,Plane,KCMA/1,1,
03/06/2024,12:19,North American F86,12793,KORD,KORD,0.06,0.06,0.00,0.00,,Plane,KORD/1,1,
03/06/2024,12:41,CESSNA C182,N1575S,KPDX,KUAO,0.30,0.30,0.00,0.00,,Plane,KUAO/1,1,
06/06/2024,12:51,CESSNA C182,N1575S,APH,KRMN,0.29,0.29,0.00,0.00,,Plane,KRMN/1,1,
06/06/2024,14:44,CESSNA C182,N1575S,KANW,KVTN,1.91,1.91,0.00,0.00,,Plane,KVTN/1,1,
